title,publication_year,authors_list,doi,crossref_type,key
Sleep disturbances may influence lifestyle behaviours in women with self-reported polycystic ovary syndrome,2021,"Christie J. Bennett, Darren R. Mansfield, Lin Mo, Anju E. Joham, Sean W. Cain, Michelle L. Blumfield, Allison M. Hodge, Lisa J. Moran",10.1017/s0007114521002361,journal-article,researchgraph.com/doi/10.1017/s0007114521002361
Objective assessment of sleep regularity in 60 000 UK Biobank participants using an open-source package,2021,"Daniel P Windred, Samuel E Jones, Alex Russell, Angus C Burns, Philip Chan, Michael N Weedon, Martin K Rutter, Patrick Olivier, Céline Vetter, Richa Saxena, Jacqueline M Lane, Sean W Cain, Andrew J K Phillips",10.1093/sleep/zsab254,journal-article,researchgraph.com/doi/10.1093/sleep/zsab254
Optimal Schedules of Light Exposure for Multiple Individuals for Quick Circadian Alignment,2020,"Anas Mohamed, Chee Pin Tan, Andrew J.K Phillips, Vineetha Kalavally, Sean W. Cain",10.1016/j.ifacol.2020.12.731,journal-article,researchgraph.com/doi/10.1016/j.ifacol.2020.12.731
Do no harm: the beginning of the age of healthy hospital lighting,2021,"Sean W Cain, Andrew J K Phillips",10.1093/sleep/zsab016,journal-article,researchgraph.com/doi/10.1093/sleep/zsab016
Sleep regularity is a stronger predictor of mortality risk than sleep duration: A prospective cohort study,2023,"Daniel P Windred, Angus C Burns, Jacqueline M Lane, Richa Saxena, Martin K Rutter, Sean W Cain, Andrew J K Phillips",10.1093/sleep/zsad253,journal-article,researchgraph.com/doi/10.1093/sleep/zsad253
Irregular sleep-wake patterns in older adults with current or remitted depression,2021,"Jonathon Pye, Andrew JK Phillips, Sean W Cain, Maryam Montazerolghaem, Loren Mowszowski, Shantel Duffy, Ian B Hickie, Sharon L Naismith",10.1016/j.jad.2020.12.034,journal-article,researchgraph.com/doi/10.1016/j.jad.2020.12.034
A simulation-based framework for multi-individual circadian re-entrainment using a single light schedule,2023,"Anas Mohamed, Vineetha Kalavally, Yin Jou Khong, Chee Pin Tan, Sean W. Cain, Andrew J.K. Phillips",10.1016/j.buildenv.2022.109943,journal-article,researchgraph.com/doi/10.1016/j.buildenv.2022.109943
Speech processing in voice-hearers: Bridging the gap between empirical research and clinical implications,2021,"Sophie E Richards, Sean P Carruthers, David J Castle, Susan L Rossell",10.1177/00048674211068392,journal-article,researchgraph.com/doi/10.1177/00048674211068392
Exploring Heterogeneity on the Wisconsin Card Sorting Test in Schizophrenia Spectrum Disorders: A Cluster Analytical Investigation,2019,"Sean P. Carruthers, Caroline T. Gurvich, Denny Meyer, Chad Bousman, Ian P. Everall, Erica Neill, Christos Pantelis, Philip J. Sumner, Eric J. Tan, Elizabeth H.X. Thomas, Tamsyn E. Van Rheenen, Susan L. Rossell",10.1017/s1355617719000420,journal-article,researchgraph.com/doi/10.1017/s1355617719000420
"Characterization and interrelationships of theory of mind, socially competitive emotions and affective empathy in bipolar disorder",2021,"Cecilie K. Lemvigh, James A. Karantonis, Lisa S. Furlong, Sean P. Carruthers, Christos Pantelis, Susan L. Rossell, Tamsyn E. Van Rheenen",10.1111/bjc.12318,journal-article,researchgraph.com/doi/10.1111/bjc.12318
A Systematic Review of Cognition-Brain Morphology Relationships on the Schizophrenia-Bipolar Disorder Spectrum,2021,"James A Karantonis, Sean P Carruthers, Susan L Rossell, Christos Pantelis, Matthew Hughes, Cassandra Wannan, Vanessa Cropley, Tamsyn E Van Rheenen",10.1093/schbul/sbab054,journal-article,researchgraph.com/doi/10.1093/schbul/sbab054
Working Memory and Attention Influence Antisaccade Error Rate in Schizophrenia,2018,"Elizabeth H.X. Thomas, Susan L. Rossell, Jessica B. Myles, Eric J. Tan, Erica Neill, Sean P. Carruthers, Philip J. Sumner, Kiymet Bozaoglu, Caroline Gurvich",10.1017/s1355617718001066,journal-article,researchgraph.com/doi/10.1017/s1355617718001066
Sleep disturbances and cognitive impairment in schizophrenia spectrum disorders: a systematic review and narrative synthesis,2021,"Sean P. Carruthers, Gemma Brunetti, Susan L. Rossell",10.1016/j.sleep.2021.05.011,journal-article,researchgraph.com/doi/10.1016/j.sleep.2021.05.011
The relationship between white matter and cognitive function in bipolar disorder: A systematic review protocol,2021,"Georgia Francesca Caruana, Sean Carruthers, Michael Berk, Susan Rossell, Tamsyn Van Rheenen",10.31234/osf.io/nspfb,posted-content,researchgraph.com/doi/10.31234/osf.io/nspfb
Flexible Cognition and Inner-Speech in Schizophrenia Spectrum Disorder: applying Machine Learning and Modelling in   Computational Psychiatry,2023,"Giovanni Granato, Raffaele Costanzo, Anna M. Borghi, Andrea Mattera, Sean Carruthers, Susan Rossell, Gianluca Baldassarre",10.31234/osf.io/n68yr,posted-content,researchgraph.com/doi/10.31234/osf.io/n68yr
Examining the Pro-Eating Disorders Community on Twitter Via the Hashtag #proana: Statistical Modeling Approach,2021,"Suku Sukunesan, Minh Huynh, Gemma Sharp",10.2196/24340,journal-article,researchgraph.com/doi/10.2196/24340
Development of a Positive Body Image Chatbot (KIT) With Young People and Parents/Carers: Qualitative Focus Group Study,2021,"Francesca Beilharz, Suku Sukunesan, Susan L Rossell, Jayashri Kulkarni, Gemma Sharp",10.2196/27807,journal-article,researchgraph.com/doi/10.2196/27807
Development of a Positive Body Image Chatbot (KIT) With Young People and Parents/Carers: Qualitative Focus Group Study (Preprint),2021,"Francesca Beilharz, Suku Sukunesan, Susan L Rossell, Jayashri Kulkarni, Gemma Sharp",10.2196/preprints.27807,posted-content,researchgraph.com/doi/10.2196/preprints.27807
The Availability of Psychological Services for Aged Care Residents in Australia: A Survey of Facility Staff,2017,"Jennifer Stargatt, Sunil S. Bhar, Tanya E. Davison, Nancy A. Pachana, Leander Mitchell, Deborah Koder, Carol Hunter, Colleen Doyle, Yvonne Wells, Edward Helmes",10.1111/ap.12244,journal-article,researchgraph.com/doi/10.1111/ap.12244
Predictors for treatment expectancies among young people who attend drug and alcohol services: A pilot study,2014,"Diem Tran, Sunil Bhar",10.1111/cp.12009,journal-article,researchgraph.com/doi/10.1111/cp.12009
The impact of telephone‐delivered cognitive behaviour therapy and befriending on mood disorders in people with chronic obstructive pulmonary disease: A randomized controlled trial,2017,"Colleen Doyle, Sunil Bhar, Marcia Fearn, David Ames, Debra Osborne, Emily You, Alex Gorelik, David Dunt",10.1111/bjhp.12245,journal-article,researchgraph.com/doi/10.1111/bjhp.12245
Moderators of suicide ideation in Asian international students studying in Australia,2023,"Yin Siu Low, Sunil S Bhar, Won Sun Chen",10.1080/00050067.2022.2148514,journal-article,researchgraph.com/doi/10.1080/00050067.2022.2148514
Supervising post-graduate psychology trainees in residential aged care settings: common issues,2023,"Deborah Koder, Sunil Bhar, Hemalatha Jayaram, Mark Silver, Jenny Linossier, Julie Kelly",10.1080/00050067.2023.2270131,journal-article,researchgraph.com/doi/10.1080/00050067.2023.2270131
Cognitive Behavioral Therapy for Older Adults With Anxiety and Cognitive Impairment: Adaptations and Illustrative Case Study,2017,"Imogen C. Rehm, Jennifer Stargatt, Aaron T. Willison, Maree P. Reser, Sunil S. Bhar",10.1891/0889-8391.31.1.72,journal-article,researchgraph.com/doi/10.1891/0889-8391.31.1.72
Development of a Suicidal Ideation Detection Tool for Primary Healthcare Settings: Using Open Access Online Psychosocial Data,2017,"Denny Meyer, Jo-Anne Abbott, Imogen Rehm, Sunil Bhar, Azy Barak, Gary Deng, Klaire Wallace, Edward Ogden, Britt Klein",10.1089/tmj.2016.0110,journal-article,researchgraph.com/doi/10.1089/tmj.2016.0110
An assessment of awareness of mental health conditions and its association with socio-demographic characteristics: a cross-sectional study in a rural district in Bangladesh,2019,"Mohammed Nazim Uddin, Sunil Bhar, Fakir M Amirul Islam",10.1186/s12913-019-4385-6,journal-article,researchgraph.com/doi/10.1186/s12913-019-4385-6
Back to basics: could behavioural therapy be a good treatment option for youth depression? A critical review,2014,"Sarah E. Hetrick, Georgina R. Cox, Caroline A. Fisher, Sunil S. Bhar, Simon M. Rice, Christopher G. Davey, Alexandra G. Parker",10.1111/eip.12142,journal-article,researchgraph.com/doi/10.1111/eip.12142
Developing A Digital Psychoeducational Tool to Reduce Loneliness in Older Adults: A Design Case Study,2021,"Abdullah Al Mahmud, Katrina M. Long, Karra D. Harrington, Kit Casey, Sunil Bhar, Simon Curran, Kristie Hunter, Michelle H. Lim",10.1080/10447318.2021.1949854,journal-article,researchgraph.com/doi/10.1080/10447318.2021.1949854
Increasing understanding of environmental modifications using the Virtual Dementia Experience for professional carers of people living with dementia,2021,"Jennifer Stargatt, Wendy Doube, Sunil Bhar, Tanya Petrovich, Liam McGuire, Aaron Willison",10.1080/02701960.2021.1967152,journal-article,researchgraph.com/doi/10.1080/02701960.2021.1967152
"BEFRIENding for Depression, Anxiety and Social support in older adults living in Australian residential aged care facilities (BEFRIENDAS): randomised controlled trial protocol",2021,"Colleen Doyle, Sunil Bhar, Christina Bryant, Briony Dow, David Dunt, George Mnatzaganian, Daniel O’Connor, Julie Ratcliffe, Emily You, Anne-Marie Bagnall, Georgia Major, Robin Harper, Marcia Fearn",10.1186/s12877-021-02233-7,journal-article,researchgraph.com/doi/10.1186/s12877-021-02233-7
Befriending to Relieve Anxiety and Depression Associated with Chronic Obstructive Pulmonary Disease (COPD): A Case Report,2017,"Marcia Fearn, Sunil Bhar, David Dunt, David Ames, Emily You, Colleen Doyle",10.1080/07317115.2017.1292417,journal-article,researchgraph.com/doi/10.1080/07317115.2017.1292417
Empowering Dementia Carers With an iSupport Virtual Assistant (e-DiVA) in Asia-Pacific Regional Countries: Protocol for a Pilot Multisite Randomized Controlled Trial,2021,"Tuan Anh Nguyen, Kham Tran, Adrian Esterman, Bianca Brijnath, Lily Dongxia Xiao, Penelope Schofield, Sunil Bhar, Nilmini Wickramasinghe, Ronald Sinclair, Thu Ha Dang, Sarah Cullum, Yuda Turana, Ladson Hinton, Katrin Seeher, Andre Q Andrade, Maria Crotty, Susan Kurrle, Stefanie Freel, Thang Pham, Thanh Binh Nguyen, Henry Brodaty",10.2196/33572,journal-article,researchgraph.com/doi/10.2196/33572
Recruiting older men for geriatric suicide research,2012,"Sunil S. Bhar, Shannon Wiltsey-Stirman, David Zembroski, Laura McCray, David W. Oslin, Gregory K. Brown, Aaron T. Beck",10.1017/s104161021200138x,journal-article,researchgraph.com/doi/10.1017/s104161021200138x
Implementing Digital Storytelling for Health-Related Outcomes in Older Adults: Protocol for a Systematic Review (Preprint),2019,"Jennifer Stargatt, Sunil Bhar, Jahar Bhowmik, Abdullah Al Mahmud",10.2196/preprints.15512,posted-content,researchgraph.com/doi/10.2196/preprints.15512
Integrating Web-Based Applications into Aged Care: Two Case Studies and Discussion,2016,"Imogen C. Rehm, Selma Musić, Anthony Carlsson, Faye Scanlan, Mark Silver, Sunil S. Bhar",10.1007/s10880-016-9457-8,journal-article,researchgraph.com/doi/10.1007/s10880-016-9457-8
Beliefs and personality disorders: an overview of the personality beliefs questionnaire,2011,"Sunil S. Bhar, Aaron T. Beck, Andrew C. Butler",10.1002/jclp.20856,journal-article,researchgraph.com/doi/10.1002/jclp.20856
Treatment of Depression and Suicide in Older Adults,2012,"Sunil S. Bhar, Gregory K. Brown",10.1016/j.cbpra.2010.12.005,journal-article,researchgraph.com/doi/10.1016/j.cbpra.2010.12.005
Study protocol for a randomized controlled trial of&amp;nbsp;telephone-delivered cognitive behavior therapy compared with befriending for treating depression and anxiety in older adults with&amp;nbsp;,2016,"Emily (Chuanmei) You, Colleen Doyle, David Dunt, David Ames, Marcia Fearn, Sunil Bhar",10.2147/copd.s100859,journal-article,researchgraph.com/doi/10.2147/copd.s100859
L’échelle de fidélité de la Gestalt-thérapie,2018,"Madeleine Fogarty, Sunil Bhar, Stephen Theiler",10.3917/gest.ns02.0033,journal-article,researchgraph.com/doi/10.3917/gest.ns02.0033
Implementing Digital Storytelling for Health-Related Outcomes in Older Adults: Protocol for a Systematic Review,2019,"Jennifer Stargatt, Sunil Bhar, Jahar Bhowmik, Abdullah Al Mahmud",10.2196/15512,journal-article,researchgraph.com/doi/10.2196/15512
Discrepancies Between Community-Dwelling Individuals with Dementia and Their Proxies in Completing the Cornell Scale for Depression in Dementia: A Secondary Data Analysis,2021,"Wing-Yin Leung, Sunil Bhar, Ann Reilly, Sonja Pedell",10.2147/cia.s289595,journal-article,researchgraph.com/doi/10.2147/cia.s289595
Introduction of a university‐based counselling service for older adults,2014,"Sunil S. Bhar, Mark Silver",10.1111/ajag.12114,journal-article,researchgraph.com/doi/10.1111/ajag.12114
Brief reminiscence intervention improves affect and pessimism in non‐clinical individuals: A pilot study,2016,"Kelly L. James, Sunil S. Bhar",10.1111/cp.12068,journal-article,researchgraph.com/doi/10.1111/cp.12068
Psychological therapies for depression in older adults residing in long-term care settings,2018,"Tanya E Davison, Emily You, Colleen Doyle, Sunil Bhar, Yvonne Wells, Leon Flicker",10.1002/14651858.cd013059,journal-article,researchgraph.com/doi/10.1002/14651858.cd013059
Characteristics of Cognitive Behavioral Therapy for Older Adults Living in Residential Care: Protocol for a Systematic Review,2018,"Phoebe Chan, Sunil Bhar, Tanya E Davison, Colleen Doyle, Bob G Knight, Deborah Koder, Kenneth Laidlaw, Nancy A Pachana, Yvonne Wells, Viviana M Wuthrich",10.2196/resprot.9902,journal-article,researchgraph.com/doi/10.2196/resprot.9902
Psychological distress and quality of life: rationale and protocol of a prospective cohort study in a rural district in Bangaladesh,2017,"Mohammed Nazim Uddin, Sunil Bhar, Abdullah Al Mahmud, Fakir M Amirul Islam",10.1136/bmjopen-2017-016745,journal-article,researchgraph.com/doi/10.1136/bmjopen-2017-016745
Psychotherapeutic skills training for nurses on an acute aged mental health unit: A mixed‐method design,2018,"Julie Kelly, Hemalatha Jayaram, Sunil Bhar, Sahaya Jesto, Kuruvilla George",10.1111/inm.12555,journal-article,researchgraph.com/doi/10.1111/inm.12555
A Scoping Review of the Measurement of Depression in Older Adults with Cognitive Impairment,2022,"Georgia Major, Anne-Marie Bagnall, Sunil Bhar, Christina Bryant, Briony Dow, David Dunt, Marcia Fearn, Robin Harper, Wing-Yin Leung, George Mnatzaganian, Bridget O’Bree, Colleen Doyle",10.1080/07317115.2022.2126809,journal-article,researchgraph.com/doi/10.1080/07317115.2022.2126809
Understanding perspectives of older adults on the role of technology in the wider context of their social relationships,2022,"Katrina M. Long, Kit Casey, Sunil Bhar, Abdullah Al Mahmud, Simon Curran, Kristie Hunter, Michelle H. Lim",10.1017/s0144686x2200085x,journal-article,researchgraph.com/doi/10.1017/s0144686x2200085x
Characteristics of Cognitive Behavioral Therapy for Older Adults Living in Residential Care: Protocol for a Systematic Review (Preprint),2018,"Phoebe Chan, Sunil Bhar, Tanya E. Davison, Colleen Doyle, Bob G. Knight, Deborah Koder, Kenneth Laidlaw, Nancy A. Pachana, Yvonne Wells, Viviana M. Wuthrich",10.2196/preprints.9902,posted-content,researchgraph.com/doi/10.2196/preprints.9902
"Piloting the Acceptability, Practicality and Potential Benefits of Telehealth Dignity Therapy for Community-dwelling Older Adults",2023,"John Fallon, Sunil Bhar, Brad Elphinstone",10.1007/s41042-023-00106-5,journal-article,researchgraph.com/doi/10.1007/s41042-023-00106-5
Brief on the Role of Psychologists in Residential and Home Care Services for Older Adults,2017,"Tanya E. Davison, Deborah Koder, Edward Helmes, Colleen Doyle, Sunil Bhar, Leander Mitchell, Carol Hunter, Bob Knight, Nancy Pachana",10.1111/ap.12209,journal-article,researchgraph.com/doi/10.1111/ap.12209
Volunteers Befriending Older Adults in Aged Care Residencies: Three Case Studies,2016,"Johanna Stephens, Tamara Simpson, Oliver Samuel Holmes, Rebecca Collins, Mark Silver, Sunil S Bhar",10.1111/ap.12160,journal-article,researchgraph.com/doi/10.1111/ap.12160
Computer-based cognitive interventions for mild cognitive impairment and dementia in older adults: protocol for a systematic review of published studies and meta-analysis,2019,"Abdullah Al Mahmud, Reneta Slikboer, Jennifer Stargatt, Sunil Bhar",10.1186/s13643-019-1146-x,journal-article,researchgraph.com/doi/10.1186/s13643-019-1146-x
Empowering Dementia Carers With an iSupport Virtual Assistant (e-DiVA) in Asia-Pacific Regional Countries: Protocol for a Pilot Multisite Randomized Controlled Trial (Preprint),2021,"Tuan Anh Nguyen, Kham Tran, Adrian Esterman, Bianca Brijnath, Lily Dongxia Xiao, Penelope Schofield, Sunil Bhar, Nilmini Wickramasinghe, Ronald Sinclair, Thu Ha Dang, Sarah Cullum, Yuda Turana, Ladson Hinton, Katrin Seeher, Andre Q Andrade, Maria Crotty, Susan Kurrle, Stefanie Freel, Thang Pham, Thanh Binh Nguyen, Henry Brodaty",10.2196/preprints.33572,posted-content,researchgraph.com/doi/10.2196/preprints.33572
A clinician's quick guide of evidence‐based approaches: Psychological treatments for depression and anxiety with older adults living in residential aged care facilities,2020,"Sunil Bhar, Deborah Koder, Tanya Davison, Julie Kelly, Hemalatha Jayaram, Mark Silver, Jenny Linossier, Rebecca Collins",10.1111/cp.12229,journal-article,researchgraph.com/doi/10.1111/cp.12229
A randomized controlled trial examining the impact of aged care residents’ written life-stories on aged care staff knowledge and attitudes,2017,"Michelle Dennerstein, Sunil S. Bhar, Jencie J. Castles",10.1017/s1041610217002800,journal-article,researchgraph.com/doi/10.1017/s1041610217002800
Clients’ Perspectives on Outcomes and Mechanisms of Bereavement Counselling: A Qualitative Study,2017,"Mary Klasen, Sunil S. Bhar, Anna Ugalde, Christopher Hall",10.1111/ap.12280,journal-article,researchgraph.com/doi/10.1111/ap.12280
Counselling Older Adults Living in Residential Aged Care Settings: Four Illustrative Case Studies,2015,"Sunil S Bhar, Mark Silver, Jason Campbell, Margaret Lawson, Shaun O'brien, Imogen Rehm",10.1111/ap.12098,journal-article,researchgraph.com/doi/10.1111/ap.12098
Befriending Older Adults in Nursing Homes: Volunteer Perceptions of Switching to Remote Befriending in the COVID-19 Era,2021,"Marcia Fearn, Robin Harper, Georgia Major, Sunil Bhar, Christina Bryant, Briony Dow, David Dunt, George Mnatzaganian, Daniel O’Connor, Julie Ratcliffe, Sarah Samuel, Anne Marie Bagnall, Colleen Doyle",10.1080/07317115.2020.1868646,journal-article,researchgraph.com/doi/10.1080/07317115.2020.1868646
Development of suicide postvention guidelines for secondary schools: a Delphi study,2016,"Georgina R. Cox, Eleanor Bailey, Anthony F. Jorm, Nicola J. Reavley, Kate Templer, Alex Parker, Debra Rickwood, Sunil Bhar, Jo Robinson",10.1186/s12889-016-2822-6,journal-article,researchgraph.com/doi/10.1186/s12889-016-2822-6
Changes in problem-solving appraisal after cognitive therapy for the prevention of suicide,2011,"M. Ghahramanlou-Holloway, S. S. Bhar, G. K. Brown, C. Olsen, A. T. Beck",10.1017/s0033291711002169,journal-article,researchgraph.com/doi/10.1017/s0033291711002169
Characteristics and effectiveness of cognitive behavioral therapy for older adults living in residential care: a systematic review,2019,"Phoebe Chan, Sunil Bhar, Tanya E. Davison, Colleen Doyle, Bob G. Knight, Deborah Koder, Ken Laidlaw, Nancy A. Pachana, Yvonne Wells, Viviana M. Wuthrich",10.1080/13607863.2019.1686457,journal-article,researchgraph.com/doi/10.1080/13607863.2019.1686457
Missed Opportunity to Rectify or Withdraw a Flawed Metaanalysis of Longer-Term Psychodynamic Psychotherapy,2011,"James C. Coyne, Sunil S. Bhar, Monica Pignotti, K. Annika Tovote, Aaron T. Beck",10.1159/000317537,journal-article,researchgraph.com/doi/10.1159/000317537
"Examining Self-Reported Thought Disorder: Continuous Variation, Convergence with Schizotypy, and Cognitive Correlates",2020,"Philip J. Sumner, Sean P. Carruthers, Susan L. Rossell",10.1016/j.psychres.2020.112943,journal-article,researchgraph.com/doi/10.1016/j.psychres.2020.112943
Randomised controlled trials of psychological &amp; pharmacological treatments for body dysmorphic disorder: A systematic review,2016,"Andrea Phillipou, Susan L. Rossell, Helen E. Wilding, David J. Castle",10.1016/j.psychres.2016.05.062,journal-article,researchgraph.com/doi/10.1016/j.psychres.2016.05.062
Biopsychology of Physical Activity in People with Schizophrenia: An Integrative Perspective on Barriers and Intervention Strategies,2022,"Urska Arnautovska, James P Kesby, Nicole Korman, Amanda L Rebar, Justin Chapman, Nicola Warren, Susan L Rossell, Frances L Dark, Dan Siskind",10.2147/ndt.s393775,journal-article,researchgraph.com/doi/10.2147/ndt.s393775
Genetic and neurocognitive foundations of emotion abnormalities in bipolar disorder,2013,"Tamsyn E. Van Rheenen, Susan L. Rossell",10.1080/13546805.2012.690938,journal-article,researchgraph.com/doi/10.1080/13546805.2012.690938
Desire for greater clarity when defining ‘cognitive remediation’ in reviews of treatment efficacy for schizophrenia,2015,"Shayden D Bryce, Stuart J Lee, Jennie L Ponsford, Susan L Rossell",10.1177/0004867415617838,journal-article,researchgraph.com/doi/10.1177/0004867415617838
Time of Day Differences in Neural Reward Functioning in Healthy Young Men,2017,"Jamie E.M. Byrne, Matthew E. Hughes, Susan L. Rossell, Sheri L. Johnson, Greg Murray",10.1523/jneurosci.0918-17.2017,journal-article,researchgraph.com/doi/10.1523/jneurosci.0918-17.2017
Treatment Modifications and Suggestions to Address Visual Abnormalities in Body Dysmorphic Disorder,2017,"Francesca Beilharz, Susan L. Rossell",10.1891/0889-8391.31.4.272,journal-article,researchgraph.com/doi/10.1891/0889-8391.31.4.272
Virtual Ontogeny of Cortical Growth Preceding Mental Illness,2022,"Yash Patel, Jean Shin, Christoph Abé, Ingrid Agartz, Clara Alloza, Dag Alnæs, Sonia Ambrogi, Linda A. Antonucci, Celso Arango, Volker Arolt, Guillaume Auzias, Rosa Ayesa-Arriola, Nerisa Banaj, Tobias Banaschewski, Cibele Bandeira, Zeynep Başgöze, Renata Basso Cupertino, Claiton H.D. Bau, Jochen Bauer, Sarah Baumeister, Fabio Bernardoni, Alessandro Bertolino, Caterina del Mar Bonnin, Daniel Brandeis, Silvia Brem, Jason Bruggemann, Robin Bülow, Juan R. Bustillo, Sara Calderoni, Rosa Calvo, Erick J. Canales-Rodríguez, Dara M. Cannon, Susanna Carmona, Vaughan J. Carr, Stanley V. Catts, Sneha Chenji, Qian Hui Chew, David Coghill, Colm G. Connolly, Annette Conzelmann, Alexander R. Craven, Benedicto Crespo-Facorro, Kathryn Cullen, Andreas Dahl, Udo Dannlowski, Christopher G. Davey, Christine Deruelle, Covadonga M. Díaz-Caneja, Katharina Dohm, Stefan Ehrlich, Jeffery Epstein, Tracy Erwin-Grabner, Lisa T. Eyler, Jennifer Fedor, Jacqueline Fitzgerald, William Foran, Judith M. Ford, Lydia Fortea, Paola Fuentes-Claramonte, Janice Fullerton, Lisa Furlong, Louise Gallagher, Bingchen Gao, Si Gao, Jose M. Goikolea, Ian Gotlib, Roberto Goya-Maldonado, Hans J. Grabe, Melissa Green, Eugenio H. Grevet, Nynke A. Groenewold, Dominik Grotegerd, Oliver Gruber, Jan Haavik, Tim Hahn, Ben J. Harrison, Walter Heindel, Frans Henskens, Dirk J. Heslenfeld, Eva Hilland, Pieter J. Hoekstra, Sarah Hohmann, Nathalie Holz, Fleur M. Howells, Jonathan C. Ipser, Neda Jahanshad, Babette Jakobi, Andreas Jansen, Joost Janssen, Rune Jonassen, Anna Kaiser, Vasiliy Kaleda, James Karantonis, Joseph A. King, Tilo Kircher, Peter Kochunov, Sheri-Michelle Koopowitz, Mikael Landén, Nils Inge Landrø, Stephen Lawrie, Irina Lebedeva, Beatriz Luna, Astri J. Lundervold, Frank P. MacMaster, Luigi A. Maglanoc, Daniel H. Mathalon, Colm McDonald, Andrew McIntosh, Susanne Meinert, Patricia T. Michie",10.1016/j.biopsych.2022.02.959,journal-article,researchgraph.com/doi/10.1016/j.biopsych.2022.02.959
Functional brain networks involved in lexical decision,2020,"Samantha Tze Sum Wong, Vina M. Goghari, Nicole Sanford, Ryan Lim, Cameron Clark, Paul D. Metzak, Susan L. Rossell, Mahesh Menon, Todd S. Woodward",10.1016/j.bandc.2019.103631,journal-article,researchgraph.com/doi/10.1016/j.bandc.2019.103631
Disorganised schizotypy is selectively associated with poorer semantic processing in non-clinical individuals,2017,"Eric Josiah Tan, Susan Lee Rossell",10.1016/j.psychres.2017.06.067,journal-article,researchgraph.com/doi/10.1016/j.psychres.2017.06.067
"The muscarinic system, cognition and schizophrenia",2015,"Sean P. Carruthers, Caroline T. Gurvich, Susan L. Rossell",10.1016/j.neubiorev.2015.05.011,journal-article,researchgraph.com/doi/10.1016/j.neubiorev.2015.05.011
The eyes have it: Eye movements and anorexia nervosa,2016,"Andrea Phillipou, Susan Lee Rossell, Caroline Gurvich, David Jonathan Castle, Larry Allen Abel",10.1177/0004867416656260,journal-article,researchgraph.com/doi/10.1177/0004867416656260
Face and Object Perception in Body Dysmorphic Disorder <i>versus</i> Obsessive-Compulsive Disorder: The Mooney Faces Task,2017,"Wei Lin Toh, David J. Castle, Susan L. Rossell",10.1017/s1355617717000327,journal-article,researchgraph.com/doi/10.1017/s1355617717000327
A qualitative exploration of the lived experiences of Body Dysmorphic Disorder,2023,"Sarah N. Brennan, Susan L. Rossell, Imogen Rehm, Neil Thomas, David J. Castle",10.3389/fpsyt.2023.1214803,journal-article,researchgraph.com/doi/10.3389/fpsyt.2023.1214803
Characterisation of Deficits and Sex Differences in Verbal and Visual Memory/Learning in Bipolar Disorder,2022,"Andrea Gogos, Jinwon Son, Susan L. Rossell, James Karantonis, Lisa S. Furlong, Kim Felmingham, Tamsyn E. Van Rheenen",10.1017/s1355617721001442,journal-article,researchgraph.com/doi/10.1017/s1355617721001442
Characterization of facial emotion recognition in bipolar disorder: Focus on emotion mislabelling and neutral expressions,2021,"Lisa S. Furlong, Susan L. Rossell, James A. Karantonis, Vanessa L. Cropley, Matthew Hughes, Tamsyn E. Van Rheenen",10.1111/jnp.12267,journal-article,researchgraph.com/doi/10.1111/jnp.12267
Examining the relationships between cognition and auditory hallucinations: A systematic review,2024,"Adrienne Bell, Wei Lin Toh, Paul Allen, Matteo Cella, Renaud Jardri, Frank Larøi, Peter Moseley, Susan L Rossell",10.1177/00048674241235849,journal-article,researchgraph.com/doi/10.1177/00048674241235849
Executive functioning in schizophrenia: The result of impairments in lower order cognitive skills?,2013,"Erica Neill, Susan L. Rossell",10.1016/j.schres.2013.07.034,journal-article,researchgraph.com/doi/10.1016/j.schres.2013.07.034
Correction to: Brain Morphological Characteristics of Cognitive Subgroups of Schizophrenia‑spectrum Disorders and Bipolar Disorder: a Systematic Review with Narrative Synthesis,2022,"James A. Karantonis, Sean P. Carruthers, Katherine E. Burdick, Christos Pantelis, Melissa Green, Susan L. Rossell, Matthew E. Hughes, Vanessa Cropley, Tamsyn E. Van Rheenen",10.1007/s11065-022-09541-8,journal-article,researchgraph.com/doi/10.1007/s11065-022-09541-8
Why didn’t the TGA consult with Australian researchers and clinicians with experience in psilocybin-assisted psychotherapy for treatment-resistant major depressive disorder?,2023,"Susan L Rossell, Sally E Meikle, Martin L Williams, David J Castle",10.1177/00048674231172691,journal-article,researchgraph.com/doi/10.1177/00048674231172691
Cognitive remediation in schizophrenia: A methodological appraisal of systematic reviews and meta-analyses,2016,"Shayden Bryce, Elise Sloan, Stuart Lee, Jennie Ponsford, Susan Rossell",10.1016/j.jpsychires.2016.01.004,journal-article,researchgraph.com/doi/10.1016/j.jpsychires.2016.01.004
Treating OCD: what to do when first-line therapies fail,2015,"David Castle, Peter Bosanac, Susan Rossell",10.1177/1039856215590027,journal-article,researchgraph.com/doi/10.1177/1039856215590027
From core schemas about the self and others to voice phenomenology: Anxiety and depression affect voice hearers differently,2022,"Isabella Kusztrits, Wei Lin Toh, Neil Thomas, Frank Larøi, Denny Meyers, Marco Hirnstein, Susan Rossell",10.1111/papt.12384,journal-article,researchgraph.com/doi/10.1111/papt.12384
